Amplitude,1 Back,1 Forward,RR,HR back,HR,HR After,TYPE
-0.245,0.175,-0.2,0.7277777777777777,166,82,86,0
-0.2,-0.245,-0.14,0.6916666666666667,82,86,84,0
-0.14,-0.2,-0.24,0.7138888888888889,86,84,84,0
-0.24,-0.14,-0.3,0.7138888888888889,84,84,84,0
-0.3,-0.24,-0.215,0.7138888888888889,84,84,82,0
-0.215,-0.3,-0.23,0.7277777777777777,84,82,78,0
-0.23,-0.215,-0.275,0.7611111111111111,82,78,79,0
-0.275,-0.23,-0.22,0.7555555555555555,78,79,82,0
-0.22,-0.275,-0.175,0.7305555555555555,79,82,85,0
-0.175,-0.22,-0.285,0.7027777777777777,82,85,86,0
-0.285,-0.175,-0.31,0.6916666666666667,85,86,86,0
-0.31,-0.285,-0.23,0.6972222222222222,86,86,83,0
-0.23,-0.31,-0.195,0.7222222222222222,86,83,79,0
-0.195,-0.23,-0.31,0.7555555555555555,83,79,80,0
-0.31,-0.195,-0.275,0.7416666666666667,79,80,80,0
-0.275,-0.31,-0.19,0.7472222222222222,80,80,81,0
-0.19,-0.275,-0.305,0.7333333333333333,80,81,81,0
-0.305,-0.19,-0.25,0.7388888888888889,81,81,85,0
-0.25,-0.305,-0.26,0.7027777777777777,81,85,85,0
-0.26,-0.25,-0.305,0.7027777777777777,85,85,140,0
-0.305,-0.26,0.525,0.42777777777777776,85,140,59,0
0.525,-0.305,-0.375,1.0055555555555555,140,59,79,1
-0.375,0.525,-0.33,0.7555555555555555,59,79,79,0
-0.33,-0.375,-0.375,0.7583333333333333,79,79,80,0
-0.375,-0.33,-0.325,0.7444444444444445,79,80,83,0
-0.325,-0.375,-0.285,0.7222222222222222,80,83,86,0
-0.285,-0.325,-0.395,0.6944444444444444,83,86,83,0
-0.395,-0.285,-0.32,0.7222222222222222,86,83,82,0
-0.32,-0.395,-0.42,0.725,83,82,139,0
-0.42,-0.32,0.43,0.4305555555555556,82,139,58,0
0.43,-0.42,-0.365,1.0222222222222221,139,58,78,1
-0.365,0.43,-0.21,0.7611111111111111,58,78,81,0
-0.21,-0.365,-0.31,0.7361111111111112,78,81,81,0
-0.31,-0.21,-0.375,0.7333333333333333,81,81,84,0
-0.375,-0.31,-0.325,0.7138888888888889,81,84,86,0
-0.325,-0.375,-0.05,0.6944444444444444,84,86,88,0
-0.05,-0.325,-0.09,0.6805555555555556,86,88,83,0
-0.09,-0.05,-0.38,0.7222222222222222,88,83,78,0
-0.38,-0.09,-0.315,0.7638888888888888,83,78,81,0
-0.315,-0.38,-0.205,0.7361111111111112,78,81,82,0
-0.205,-0.315,-0.29,0.7305555555555555,81,82,83,0
-0.29,-0.205,-0.215,0.7222222222222222,82,83,84,0
-0.215,-0.29,-0.2,0.7111111111111111,83,84,85,0
-0.2,-0.215,-0.265,0.7,84,85,84,0
-0.265,-0.2,-0.245,0.7083333333333334,85,84,84,0
-0.245,-0.265,-0.2,0.7111111111111111,84,84,82,0
-0.2,-0.245,-0.24,0.7277777777777777,84,82,122,0
-0.24,-0.2,0.585,0.4888888888888889,82,122,59,0
0.585,-0.24,-0.305,1.0055555555555555,122,59,81,1
-0.305,0.585,-0.3,0.7361111111111112,59,81,84,0
-0.3,-0.305,-0.31,0.7083333333333334,81,84,87,0
-0.31,-0.3,-0.29,0.6888888888888889,84,87,86,0
-0.29,-0.31,-0.155,0.6972222222222222,87,86,87,0
-0.155,-0.29,-0.285,0.6861111111111111,86,87,81,0
-0.285,-0.155,-0.28,0.7333333333333333,87,81,80,0
-0.28,-0.285,-0.16,0.7472222222222222,81,80,80,0
-0.16,-0.28,-0.245,0.7416666666666667,80,80,83,0
-0.245,-0.16,-0.27,0.7166666666666667,80,83,81,0
-0.27,-0.245,-0.355,0.7333333333333333,83,81,83,0
-0.355,-0.27,-0.28,0.7194444444444444,81,83,86,0
-0.28,-0.355,-0.3,0.6944444444444444,83,86,86,0
-0.3,-0.28,-0.33,0.6972222222222222,86,86,84,0
-0.33,-0.3,-0.32,0.7083333333333334,86,84,81,0
-0.32,-0.33,-0.315,0.7333333333333333,84,81,78,0
-0.315,-0.32,-0.26,0.7611111111111111,81,78,80,0
-0.26,-0.315,-0.155,0.75,78,80,82,0
-0.155,-0.26,-0.25,0.7277777777777777,80,82,84,0
-0.25,-0.155,-0.27,0.7111111111111111,82,84,85,0
-0.27,-0.25,-0.24,0.7,84,85,83,0
-0.24,-0.27,-0.135,0.7166666666666667,85,83,84,0
-0.135,-0.24,-0.3,0.7111111111111111,83,84,81,0
-0.3,-0.135,-0.25,0.7333333333333333,84,81,80,0
-0.25,-0.3,-0.205,0.7416666666666667,81,80,80,0
-0.205,-0.25,-0.23,0.75,80,80,81,0
-0.23,-0.205,-0.255,0.7333333333333333,80,81,82,0
-0.255,-0.23,-0.255,0.725,81,82,85,0
-0.255,-0.255,-0.245,0.7055555555555556,82,85,85,0
-0.245,-0.255,-0.145,0.7027777777777777,85,85,86,0
-0.145,-0.245,-0.155,0.6916666666666667,85,86,80,0
-0.155,-0.145,-0.245,0.7416666666666667,86,80,126,0
-0.245,-0.155,0.8,0.475,80,126,57,0
0.8,-0.245,-0.25,1.038888888888889,126,57,82,1
-0.25,0.8,-0.19,0.7277777777777777,57,82,82,0
-0.19,-0.25,-0.205,0.7277777777777777,82,82,86,0
-0.205,-0.19,-0.23,0.6972222222222222,82,86,85,0
-0.23,-0.205,-0.19,0.7027777777777777,86,85,84,0
-0.19,-0.23,-0.17,0.7111111111111111,85,84,85,0
-0.17,-0.19,-0.18,0.7055555555555556,84,85,82,0
-0.18,-0.17,-0.135,0.7277777777777777,85,82,81,0
-0.135,-0.18,-0.19,0.7361111111111112,82,81,78,0
-0.19,-0.135,-0.235,0.7638888888888888,81,78,81,0
-0.235,-0.19,-0.285,0.7333333333333333,78,81,86,0
-0.285,-0.235,-0.32,0.6916666666666667,81,86,87,0
-0.32,-0.285,-0.255,0.6888888888888889,86,87,130,0
-0.255,-0.32,0.645,0.4583333333333333,87,130,61,0
0.645,-0.255,-0.4,0.9694444444444444,130,61,79,1
-0.4,0.645,-0.355,0.7527777777777778,61,79,80,0
-0.355,-0.4,-0.285,0.75,79,80,81,0
-0.285,-0.355,-0.225,0.7361111111111112,80,81,84,0
-0.225,-0.285,-0.18,0.7138888888888889,81,84,82,0
-0.18,-0.225,-0.4,0.7277777777777777,84,82,84,0
-0.4,-0.18,-0.31,0.7083333333333334,82,84,86,0
-0.31,-0.4,-0.225,0.6916666666666667,84,86,85,0
-0.225,-0.31,-0.325,0.7027777777777777,86,85,84,0
