Amplitude,1 Back,1 Forward,RR,HR back,HR,HR After,TYPE
-0.67,0.16,-0.48,1.0944444444444446,130,54,52,0
-0.48,-0.67,-0.53,1.1472222222222221,54,52,51,0
-0.53,-0.48,-0.53,1.1694444444444445,52,51,53,0
-0.53,-0.53,-0.545,1.1222222222222222,51,53,56,0
-0.545,-0.53,-0.645,1.0694444444444444,53,56,55,0
-0.645,-0.545,-0.485,1.0888888888888888,56,55,52,0
-0.485,-0.645,-0.62,1.1388888888888888,55,52,51,0
-0.62,-0.485,-0.525,1.1722222222222223,52,51,51,0
-0.525,-0.62,-0.57,1.1583333333333334,51,51,54,0
-0.57,-0.525,-0.49,1.0944444444444446,51,54,54,0
-0.49,-0.57,-0.575,1.1083333333333334,54,54,53,0
-0.575,-0.49,-0.49,1.113888888888889,54,53,52,0
-0.49,-0.575,-0.515,1.1472222222222221,53,52,53,0
-0.515,-0.49,-0.585,1.1166666666666667,52,53,55,0
-0.585,-0.515,-0.575,1.086111111111111,53,55,55,0
-0.575,-0.585,-0.65,1.0888888888888888,55,55,54,0
-0.65,-0.575,-0.47,1.0916666666666666,55,54,51,0
-0.47,-0.65,-0.61,1.1555555555555554,54,51,49,0
-0.61,-0.47,-0.61,1.2055555555555555,51,49,51,0
-0.61,-0.61,-0.56,1.1666666666666667,49,51,54,0
-0.56,-0.61,-0.475,1.1,51,54,53,0
-0.475,-0.56,-0.6,1.1194444444444445,54,53,51,0
-0.6,-0.475,-0.555,1.1583333333333334,53,51,50,0
-0.555,-0.6,-0.445,1.2,51,50,91,0
-0.445,-0.555,-0.635,0.6583333333333333,50,91,38,0
-0.635,-0.445,-0.535,1.538888888888889,91,38,55,1
-0.535,-0.635,-0.43,1.0833333333333333,38,55,55,0
-0.43,-0.535,-0.525,1.086111111111111,55,55,53,0
-0.525,-0.43,-0.4,1.1305555555555555,55,53,52,0
-0.4,-0.525,-0.55,1.1333333333333333,53,52,55,0
-0.55,-0.4,-0.465,1.0833333333333333,52,55,54,0
-0.465,-0.55,-0.575,1.0916666666666666,55,54,54,0
-0.575,-0.465,-0.54,1.1,54,54,51,0
-0.54,-0.575,-0.505,1.1666666666666667,54,51,50,0
-0.505,-0.54,-0.51,1.1916666666666667,51,50,50,0
-0.51,-0.505,-0.525,1.1805555555555556,50,50,53,0
-0.525,-0.51,-0.335,1.1222222222222222,50,53,53,0
-0.335,-0.525,-0.385,1.1194444444444445,53,53,51,0
-0.385,-0.335,-0.35,1.1666666666666667,53,51,49,0
-0.35,-0.385,-0.29,1.2027777777777777,51,49,52,0
-0.29,-0.35,-0.57,1.15,49,52,55,0
-0.57,-0.29,-0.365,1.0722222222222222,52,55,56,0
-0.365,-0.57,-0.565,1.0638888888888889,55,56,53,0
-0.565,-0.365,-0.465,1.1166666666666667,56,53,51,0
-0.465,-0.565,-0.705,1.1611111111111112,53,51,54,0
-0.705,-0.465,-0.41,1.0944444444444446,51,54,54,0
-0.41,-0.705,-0.57,1.0944444444444446,54,54,55,0
-0.57,-0.41,-0.525,1.0805555555555555,54,55,53,0
-0.525,-0.57,-0.53,1.1166666666666667,55,53,51,0
-0.53,-0.525,-0.71,1.163888888888889,53,51,50,0
-0.71,-0.53,-0.565,1.1805555555555556,51,50,50,0
-0.565,-0.71,-0.595,1.1805555555555556,50,50,54,0
-0.595,-0.565,-0.54,1.1083333333333334,50,54,54,0
-0.54,-0.595,-0.65,1.1027777777777779,54,54,50,0
-0.65,-0.54,-0.685,1.1805555555555556,54,50,50,0
-0.685,-0.65,-0.58,1.1888888888888889,50,50,51,0
-0.58,-0.685,-0.65,1.1666666666666667,50,51,54,0
-0.65,-0.58,-0.68,1.1111111111111112,51,54,53,0
-0.68,-0.65,-0.61,1.113888888888889,54,53,50,0
-0.61,-0.68,-0.62,1.1833333333333333,53,50,50,0
-0.62,-0.61,-0.415,1.1805555555555556,50,50,52,0
-0.415,-0.62,-0.625,1.1388888888888888,50,52,54,0
-0.625,-0.415,-0.53,1.0916666666666666,52,54,55,0
-0.53,-0.625,-0.635,1.0833333333333333,54,55,53,0
